iteration	average pixel
1	255.000000
2	254.930186
3	254.877812
4	254.834158
5	254.795954
6	254.761567
7	254.730042
8	254.700766
9	254.673319
10	254.647396
11	254.622768
12	254.599260
13	254.576731
14	254.555069
15	254.534181
16	254.513989
17	254.494428
18	254.475443
19	254.456985
20	254.439013
21	254.421491
22	254.404386
23	254.387671
24	254.371318
25	254.355307
26	254.339615
27	254.324226
28	254.309121
29	254.294287
30	254.279708
31	254.265372
32	254.251268
33	254.237383
34	254.223709
35	254.210237
36	254.196956
37	254.183860
38	254.170941
39	254.158192
40	254.145606
41	254.133178
42	254.120901
43	254.108770
44	254.096780
45	254.084927
46	254.073205
47	254.061610
48	254.050139
49	254.038787
50	254.027551
51	254.016427
52	254.005412
53	253.994503
54	253.983697
55	253.972990
56	253.962382
57	253.951867
58	253.941445
59	253.931113
60	253.920868
61	253.910709
62	253.900633
63	253.890638
64	253.880722
65	253.870884
66	253.861122
67	253.851433
68	253.841817
69	253.832271
70	253.822794
71	253.813386
72	253.804043
73	253.794765
74	253.785551
75	253.776399
76	253.767308
77	253.758277
78	253.749304
79	253.740389
80	253.731531
81	253.722728
82	253.713979
83	253.705283
84	253.696640
85	253.688049
86	253.679508
87	253.671016
88	253.662573
89	253.654179
90	253.645831
91	253.637530
92	253.629275
93	253.621064
94	253.612898
95	253.604775
96	253.596695
97	253.588657
98	253.580661
99	253.572705
100	253.564789
101	253.556913
102	253.549077
103	253.541278
104	253.533518
105	253.525795
106	253.518108
107	253.510458
108	253.502844
109	253.495265
110	253.487721
111	253.480211
112	253.472735
113	253.465292
114	253.457883
115	253.450506
116	253.443161
117	253.435848
118	253.428566
119	253.421315
120	253.414094
121	253.406904
122	253.399744
123	253.392612
124	253.385510
125	253.378437
126	253.371392
127	253.364375
128	253.357385
129	253.350423
130	253.343488
131	253.336580
132	253.329698
133	253.322842
134	253.316012
135	253.309208
136	253.302429
137	253.295675
138	253.288945
139	253.282240
140	253.275560
141	253.268903
142	253.262269
143	253.255660
144	253.249073
145	253.242509
146	253.235968
147	253.229450
148	253.222953
149	253.216479
150	253.210027
151	253.203596
152	253.197186
153	253.190798
154	253.184430
155	253.178083
156	253.171757
157	253.165451
158	253.159165
159	253.152900
160	253.146653
161	253.140427
162	253.134220
163	253.128032
164	253.121863
165	253.115713
166	253.109582
167	253.103469
168	253.097375
169	253.091299
170	253.085241
171	253.079201
172	253.073178
173	253.067173
174	253.061186
175	253.055215
176	253.049262
177	253.043326
178	253.037407
179	253.031504
180	253.025618
181	253.019749
182	253.013895
183	253.008058
184	253.002237
185	252.996431
186	252.990642
187	252.984868
188	252.979109
189	252.973366
190	252.967639
191	252.961926
192	252.956228
193	252.950546
194	252.944878
195	252.939224
196	252.933585
197	252.927961
198	252.922351
199	252.916756
200	252.911174
201	252.905606
202	252.900053
203	252.894513
204	252.888987
205	252.883474
206	252.877975
207	252.872489
208	252.867017
209	252.861558
210	252.856112
211	252.850679
212	252.845259
213	252.839852
214	252.834458
215	252.829076
216	252.823707
217	252.818350
218	252.813006
219	252.807674
220	252.802354
221	252.797047
222	252.791751
223	252.786468
224	252.781196
225	252.775936
226	252.770688
227	252.765452
228	252.760227
229	252.755014
230	252.749812
231	252.744622
232	252.739443
233	252.734275
234	252.729118
235	252.723972
236	252.718838
237	252.713714
238	252.708601
239	252.703499
240	252.698408
241	252.693327
242	252.688257
243	252.683198
244	252.678149
245	252.673110
246	252.668082
247	252.663064
248	252.658056
249	252.653059
250	252.648071
251	252.643094
252	252.638126
253	252.633169
254	252.628221
255	252.623283
256	252.618355
257	252.613436
258	252.608527
259	252.603628
260	252.598738
261	252.593858
262	252.588987
263	252.584125
264	252.579273
265	252.574430
266	252.569596
267	252.564772
268	252.559956
269	252.555150
270	252.550352
271	252.545564
272	252.540784
273	252.536013
274	252.531251
275	252.526498
276	252.521753
277	252.517017
278	252.512290
279	252.507571
280	252.502861
281	252.498159
282	252.493465
283	252.488780
284	252.484104
285	252.479435
286	252.474775
287	252.470123
288	252.465479
289	252.460844
290	252.456216
291	252.451597
292	252.446985
293	252.442381
294	252.437786
295	252.433198
296	252.428618
297	252.424046
298	252.419481
299	252.414925
300	252.410376
301	252.405834
302	252.401300
303	252.396774
304	252.392255
305	252.387744
306	252.383240
307	252.378744
308	252.374255
309	252.369773
310	252.365299
311	252.360832
312	252.356372
313	252.351919
314	252.347474
315	252.343035
316	252.338604
317	252.334180
318	252.329763
319	252.325353
320	252.320949
321	252.316553
322	252.312164
323	252.307781
324	252.303406
325	252.299037
326	252.294675
327	252.290319
328	252.285971
329	252.281629
330	252.277293
331	252.272965
332	252.268643
333	252.264327
334	252.260018
335	252.255716
336	252.251420
337	252.247130
338	252.242847
339	252.238570
340	252.234300
341	252.230036
342	252.225778
343	252.221526
344	252.217281
345	252.213042
346	252.208809
347	252.204582
348	252.200362
349	252.196147
350	252.191939
351	252.187737
352	252.183540
353	252.179350
354	252.175166
355	252.170988
356	252.166815
357	252.162649
358	252.158488
359	252.154333
360	252.150185
361	252.146041
362	252.141904
363	252.137773
364	252.133647
365	252.129527
366	252.125412
367	252.121304
368	252.117201
369	252.113103
370	252.109011
371	252.104925
372	252.100844
373	252.096769
374	252.092699
375	252.088635
376	252.084576
377	252.080523
378	252.076475
379	252.072433
380	252.068396
381	252.064364
382	252.060337
383	252.056316
384	252.052301
385	252.048290
386	252.044285
387	252.040285
388	252.036290
389	252.032300
390	252.028316
391	252.024337
392	252.020362
393	252.016393
394	252.012429
395	252.008470
396	252.004517
397	252.000568
398	251.996624
399	251.992685
400	251.988751
401	251.984823
402	251.980899
403	251.976980
404	251.973066
405	251.969156
406	251.965252
407	251.961353
408	251.957458
409	251.953568
410	251.949683
411	251.945803
412	251.941927
413	251.938057
414	251.934191
415	251.930329
416	251.926473
417	251.922621
418	251.918773
419	251.914931
420	251.911093
421	251.907259
422	251.903430
423	251.899606
424	251.895787
425	251.891971
426	251.888161
427	251.884355
428	251.880553
429	251.876756
430	251.872963
431	251.869175
432	251.865391
433	251.861612
434	251.857837
435	251.854067
436	251.850300
437	251.846539
438	251.842781
439	251.839028
440	251.835279
441	251.831535
442	251.827794
443	251.824058
444	251.820327
445	251.816599
446	251.812876
447	251.809157
448	251.805442
449	251.801731
450	251.798025
451	251.794322
452	251.790624
453	251.786930
454	251.783240
455	251.779554
456	251.775873
457	251.772195
458	251.768521
459	251.764852
460	251.761186
461	251.757525
462	251.753867
463	251.750213
464	251.746564
465	251.742918
466	251.739277
467	251.735639
468	251.732005
469	251.728375
470	251.724749
471	251.721127
472	251.717509
473	251.713895
474	251.710284
475	251.706678
476	251.703075
477	251.699476
478	251.695881
479	251.692290
480	251.688702
481	251.685118
482	251.681538
483	251.677962
484	251.674389
485	251.670821
486	251.667256
487	251.663694
488	251.660136
489	251.656582
490	251.653032
491	251.649485
492	251.645942
493	251.642403
494	251.638867
495	251.635335
496	251.631806
497	251.628281
498	251.624760
499	251.621242
500	251.617727
501	251.614217
502	251.610709
503	251.607206
504	251.603706
505	251.600209
506	251.596716
507	251.593226
508	251.589740
509	251.586257
510	251.582778
511	251.579302
512	251.575829
513	251.572360
514	251.568895
515	251.565433
516	251.561974
517	251.558518
518	251.555066
519	251.551618
520	251.548172
521	251.544730
522	251.541292
523	251.537856
524	251.534424
525	251.530995
526	251.527570
527	251.524148
528	251.520729
529	251.517313
530	251.513901
531	251.510492
532	251.507086
533	251.503683
534	251.500284
535	251.496888
536	251.493495
537	251.490105
538	251.486718
539	251.483335
540	251.479955
541	251.476578
542	251.473204
543	251.469833
544	251.466465
545	251.463101
546	251.459739
547	251.456381
548	251.453026
549	251.449674
550	251.446324
551	251.442978
552	251.439636
553	251.436296
554	251.432959
555	251.429625
556	251.426294
557	251.422967
558	251.419642
559	251.416320
560	251.413001
561	251.409686
562	251.406373
563	251.403063
564	251.399756
565	251.396453
566	251.393152
567	251.389854
568	251.386559
569	251.383267
570	251.379977
571	251.376691
572	251.373408
573	251.370127
574	251.366850
575	251.363575
576	251.360303
577	251.357034
578	251.353768
579	251.350505
580	251.347245
581	251.343987
582	251.340732
583	251.337480
584	251.334231
585	251.330985
586	251.327742
587	251.324501
588	251.321263
589	251.318028
590	251.314796
591	251.311566
592	251.308339
593	251.305115
594	251.301894
595	251.298675
596	251.295459
597	251.292246
598	251.289036
599	251.285828
600	251.282623
601	251.279421
602	251.276221
603	251.273024
604	251.269830
605	251.266638
606	251.263449
607	251.260263
608	251.257079
609	251.253898
610	251.250720
611	251.247544
612	251.244371
613	251.241200
614	251.238032
615	251.234867
616	251.231704
617	251.228544
618	251.225387
619	251.222232
620	251.219079
621	251.215930
622	251.212782
623	251.209638
624	251.206496
625	251.203356
626	251.200219
627	251.197084
628	251.193952
629	251.190823
630	251.187696
631	251.184571
632	251.181449
633	251.178330
634	251.175213
635	251.172098
636	251.168986
637	251.165876
638	251.162769
639	251.159665
640	251.156562
641	251.153463
642	251.150365
643	251.147270
644	251.144178
645	251.141088
646	251.138000
647	251.134915
648	251.131832
649	251.128752
650	251.125674
651	251.122598
652	251.119525
653	251.116454
654	251.113385
655	251.110319
656	251.107255
657	251.104194
658	251.101135
659	251.098078
660	251.095024
661	251.091972
662	251.088922
663	251.085875
664	251.082829
665	251.079787
666	251.076746
667	251.073708
668	251.070672
669	251.067639
670	251.064607
671	251.061578
672	251.058552
673	251.055527
674	251.052505
675	251.049485
676	251.046467
677	251.043452
678	251.040439
679	251.037428
680	251.034419
681	251.031413
682	251.028408
683	251.025406
684	251.022407
685	251.019409
686	251.016414
687	251.013420
688	251.010430
689	251.007441
690	251.004454
691	251.001470
692	250.998487
693	250.995507
694	250.992530
695	250.989554
696	250.986580
697	250.983609
698	250.980640
699	250.977672
700	250.974707
701	250.971745
702	250.968784
703	250.965825
704	250.962869
705	250.959914
706	250.956962
