iteration	average pixel
1	255.000000
100	254.529415
200	254.314179
300	254.148824
400	254.009258
500	253.886164
600	253.774769
700	253.672243
800	253.576743
900	253.486988
1000	253.402047
1100	253.321217
1200	253.243950
1300	253.169812
1400	253.098450
1500	253.029574
1600	252.962939
1700	252.898341
1800	252.835602
1900	252.774572
2000	252.715118
2100	252.657123
2200	252.600485
2300	252.545114
2400	252.490927
2500	252.437853
2600	252.385825
2700	252.334784
2800	252.284676
2900	252.235452
3000	252.187067
3100	252.139478
3200	252.092649
3300	252.046544
3400	252.001131
3500	251.956378
3600	251.912260
