Input File	Processes Number	Running Time (sec)
./resources/edgenew192x128.pgm	1	0.128624
./resources/edgenew192x128.pgm	1	0.091696
./resources/edgenew192x128.pgm	1	0.114850
./resources/edgenew192x128.pgm	1	0.120991
./resources/edgenew192x128.pgm	1	0.116348
./resources/edgenew192x128.pgm	1	0.091785
./resources/edgenew192x128.pgm	1	0.090301
./resources/edgenew192x128.pgm	1	0.114144
./resources/edgenew192x128.pgm	1	0.109037
./resources/edgenew192x128.pgm	1	0.108958
./resources/edgenew256x192.pgm	1	0.143978
./resources/edgenew256x192.pgm	1	0.150078
./resources/edgenew256x192.pgm	1	0.127039
./resources/edgenew256x192.pgm	1	0.127008
./resources/edgenew256x192.pgm	1	0.127469
./resources/edgenew256x192.pgm	1	0.127527
./resources/edgenew256x192.pgm	1	0.127431
./resources/edgenew256x192.pgm	1	0.143326
./resources/edgenew256x192.pgm	1	0.127117
./resources/edgenew256x192.pgm	1	0.126854
./resources/edgenew512x384.pgm	1	0.757221
./resources/edgenew512x384.pgm	1	0.768418
./resources/edgenew512x384.pgm	1	0.768433
./resources/edgenew512x384.pgm	1	0.768733
./resources/edgenew512x384.pgm	1	0.763988
./resources/edgenew512x384.pgm	1	0.764700
./resources/edgenew512x384.pgm	1	0.769924
./resources/edgenew512x384.pgm	1	0.765978
./resources/edgenew512x384.pgm	1	0.756526
./resources/edgenew512x384.pgm	1	0.765678
./resources/edgenew768x768.pgm	1	1.936482
./resources/edgenew768x768.pgm	1	1.934689
./resources/edgenew768x768.pgm	1	1.934924
./resources/edgenew768x768.pgm	1	1.935223
./resources/edgenew768x768.pgm	1	1.935784
./resources/edgenew768x768.pgm	1	1.936073
./resources/edgenew768x768.pgm	1	1.936067
./resources/edgenew768x768.pgm	1	1.935177
./resources/edgenew768x768.pgm	1	1.936504
./resources/edgenew768x768.pgm	1	1.938928
./resources/edgenew192x128.pgm	2	0.067665
./resources/edgenew192x128.pgm	2	0.064559
./resources/edgenew192x128.pgm	2	0.073238
./resources/edgenew192x128.pgm	2	0.047936
./resources/edgenew192x128.pgm	2	0.073491
./resources/edgenew192x128.pgm	2	0.047232
./resources/edgenew192x128.pgm	2	0.060860
./resources/edgenew192x128.pgm	2	0.047650
./resources/edgenew192x128.pgm	2	0.046862
./resources/edgenew192x128.pgm	2	0.046624
./resources/edgenew256x192.pgm	2	0.066948
./resources/edgenew256x192.pgm	2	0.094968
./resources/edgenew256x192.pgm	2	0.094977
./resources/edgenew256x192.pgm	2	0.075701
./resources/edgenew256x192.pgm	2	0.086066
./resources/edgenew256x192.pgm	2	0.084983
./resources/edgenew256x192.pgm	2	0.066343
./resources/edgenew256x192.pgm	2	0.090932
./resources/edgenew256x192.pgm	2	0.067683
./resources/edgenew256x192.pgm	2	0.095319
./resources/edgenew512x384.pgm	2	0.389910
./resources/edgenew512x384.pgm	2	0.399610
./resources/edgenew512x384.pgm	2	0.407268
./resources/edgenew512x384.pgm	2	0.399560
./resources/edgenew512x384.pgm	2	0.401690
./resources/edgenew512x384.pgm	2	0.396615
./resources/edgenew512x384.pgm	2	0.410337
./resources/edgenew512x384.pgm	2	0.398921
./resources/edgenew512x384.pgm	2	0.400450
./resources/edgenew512x384.pgm	2	0.405997
./resources/edgenew768x768.pgm	2	0.942122
./resources/edgenew768x768.pgm	2	0.943122
./resources/edgenew768x768.pgm	2	0.941541
./resources/edgenew768x768.pgm	2	0.941246
./resources/edgenew768x768.pgm	2	0.942683
./resources/edgenew768x768.pgm	2	0.946671
./resources/edgenew768x768.pgm	2	0.946768
./resources/edgenew768x768.pgm	2	0.948195
./resources/edgenew768x768.pgm	2	0.947060
./resources/edgenew768x768.pgm	2	0.942640
./resources/edgenew192x128.pgm	3	0.056177
./resources/edgenew192x128.pgm	3	0.051789
./resources/edgenew192x128.pgm	3	0.036775
./resources/edgenew192x128.pgm	3	0.035995
./resources/edgenew192x128.pgm	3	0.038423
./resources/edgenew192x128.pgm	3	0.054423
./resources/edgenew192x128.pgm	3	0.033693
./resources/edgenew192x128.pgm	3	0.034408
./resources/edgenew192x128.pgm	3	0.034051
./resources/edgenew192x128.pgm	3	0.055291
./resources/edgenew256x192.pgm	3	0.069806
./resources/edgenew256x192.pgm	3	0.069815
./resources/edgenew256x192.pgm	3	0.070091
./resources/edgenew256x192.pgm	3	0.069721
./resources/edgenew256x192.pgm	3	0.069310
./resources/edgenew256x192.pgm	3	0.069201
./resources/edgenew256x192.pgm	3	0.069196
./resources/edgenew256x192.pgm	3	0.047064
./resources/edgenew256x192.pgm	3	0.045749
./resources/edgenew256x192.pgm	3	0.066945
./resources/edgenew512x384.pgm	3	0.288217
./resources/edgenew512x384.pgm	3	0.277316
./resources/edgenew512x384.pgm	3	0.280064
./resources/edgenew512x384.pgm	3	0.272966
./resources/edgenew512x384.pgm	3	0.276408
./resources/edgenew512x384.pgm	3	0.272962
./resources/edgenew512x384.pgm	3	0.281915
./resources/edgenew512x384.pgm	3	0.267617
./resources/edgenew512x384.pgm	3	0.282429
./resources/edgenew512x384.pgm	3	0.275548
./resources/edgenew768x768.pgm	3	0.652652
./resources/edgenew768x768.pgm	3	0.659209
./resources/edgenew768x768.pgm	3	0.660638
./resources/edgenew768x768.pgm	3	0.653564
./resources/edgenew768x768.pgm	3	0.658718
./resources/edgenew768x768.pgm	3	0.653315
./resources/edgenew768x768.pgm	3	0.653700
./resources/edgenew768x768.pgm	3	0.655729
./resources/edgenew768x768.pgm	3	0.652923
./resources/edgenew768x768.pgm	3	0.659951
./resources/edgenew192x128.pgm	4	0.053630
./resources/edgenew192x128.pgm	4	0.052019
./resources/edgenew192x128.pgm	4	0.049798
./resources/edgenew192x128.pgm	4	0.049082
./resources/edgenew192x128.pgm	4	0.050008
./resources/edgenew192x128.pgm	4	0.049535
./resources/edgenew192x128.pgm	4	0.052247
./resources/edgenew192x128.pgm	4	0.049799
./resources/edgenew192x128.pgm	4	0.052391
./resources/edgenew192x128.pgm	4	0.049767
./resources/edgenew256x192.pgm	4	0.062179
./resources/edgenew256x192.pgm	4	0.059896
./resources/edgenew256x192.pgm	4	0.061727
./resources/edgenew256x192.pgm	4	0.059542
./resources/edgenew256x192.pgm	4	0.059079
./resources/edgenew256x192.pgm	4	0.058726
./resources/edgenew256x192.pgm	4	0.059292
./resources/edgenew256x192.pgm	4	0.061535
./resources/edgenew256x192.pgm	4	0.062828
./resources/edgenew256x192.pgm	4	0.060980
./resources/edgenew512x384.pgm	4	0.235052
./resources/edgenew512x384.pgm	4	0.239249
./resources/edgenew512x384.pgm	4	0.235316
./resources/edgenew512x384.pgm	4	0.240346
./resources/edgenew512x384.pgm	4	0.236354
./resources/edgenew512x384.pgm	4	0.233744
./resources/edgenew512x384.pgm	4	0.232620
./resources/edgenew512x384.pgm	4	0.240319
./resources/edgenew512x384.pgm	4	0.239414
./resources/edgenew512x384.pgm	4	0.240051
./resources/edgenew768x768.pgm	4	0.510198
./resources/edgenew768x768.pgm	4	0.507575
./resources/edgenew768x768.pgm	4	0.506959
./resources/edgenew768x768.pgm	4	0.510366
./resources/edgenew768x768.pgm	4	0.513490
./resources/edgenew768x768.pgm	4	0.511100
./resources/edgenew768x768.pgm	4	0.506481
./resources/edgenew768x768.pgm	4	0.503501
./resources/edgenew768x768.pgm	4	0.510109
./resources/edgenew768x768.pgm	4	0.512682
./resources/edgenew192x128.pgm	5	0.039530
./resources/edgenew192x128.pgm	5	0.038917
./resources/edgenew192x128.pgm	5	0.040110
./resources/edgenew192x128.pgm	5	0.040079
./resources/edgenew192x128.pgm	5	0.039293
./resources/edgenew192x128.pgm	5	0.046638
./resources/edgenew192x128.pgm	5	0.037069
./resources/edgenew192x128.pgm	5	0.039102
./resources/edgenew192x128.pgm	5	0.038551
./resources/edgenew192x128.pgm	5	0.038160
./resources/edgenew256x192.pgm	5	0.047403
./resources/edgenew256x192.pgm	5	0.047954
./resources/edgenew256x192.pgm	5	0.046959
./resources/edgenew256x192.pgm	5	0.047052
./resources/edgenew256x192.pgm	5	0.047801
./resources/edgenew256x192.pgm	5	0.047155
./resources/edgenew256x192.pgm	5	0.047243
./resources/edgenew256x192.pgm	5	0.047766
./resources/edgenew256x192.pgm	5	0.047710
./resources/edgenew256x192.pgm	5	0.046075
./resources/edgenew512x384.pgm	5	0.184256
./resources/edgenew512x384.pgm	5	0.186421
./resources/edgenew512x384.pgm	5	0.184754
./resources/edgenew512x384.pgm	5	0.189132
./resources/edgenew512x384.pgm	5	0.189042
./resources/edgenew512x384.pgm	5	0.184648
./resources/edgenew512x384.pgm	5	0.187377
./resources/edgenew512x384.pgm	5	0.196094
./resources/edgenew512x384.pgm	5	0.189326
./resources/edgenew512x384.pgm	5	0.191318
./resources/edgenew768x768.pgm	5	0.396396
./resources/edgenew768x768.pgm	5	0.403392
./resources/edgenew768x768.pgm	5	0.400941
./resources/edgenew768x768.pgm	5	0.394985
./resources/edgenew768x768.pgm	5	0.406117
./resources/edgenew768x768.pgm	5	0.401361
./resources/edgenew768x768.pgm	5	0.392869
./resources/edgenew768x768.pgm	5	0.399663
./resources/edgenew768x768.pgm	5	0.397185
./resources/edgenew768x768.pgm	5	0.395602
./resources/edgenew192x128.pgm	7	0.032965
./resources/edgenew192x128.pgm	7	0.031463
./resources/edgenew192x128.pgm	7	0.032288
./resources/edgenew192x128.pgm	7	0.031446
./resources/edgenew192x128.pgm	7	0.033270
./resources/edgenew192x128.pgm	7	0.032505
./resources/edgenew192x128.pgm	7	0.033274
./resources/edgenew192x128.pgm	7	0.031926
./resources/edgenew192x128.pgm	7	0.032386
./resources/edgenew192x128.pgm	7	0.031794
./resources/edgenew256x192.pgm	7	0.040287
./resources/edgenew256x192.pgm	7	0.039946
./resources/edgenew256x192.pgm	7	0.039004
./resources/edgenew256x192.pgm	7	0.040623
./resources/edgenew256x192.pgm	7	0.038255
./resources/edgenew256x192.pgm	7	0.038400
./resources/edgenew256x192.pgm	7	0.038461
./resources/edgenew256x192.pgm	7	0.038924
./resources/edgenew256x192.pgm	7	0.038611
./resources/edgenew256x192.pgm	7	0.038167
./resources/edgenew512x384.pgm	7	0.140547
./resources/edgenew512x384.pgm	7	0.140422
./resources/edgenew512x384.pgm	7	0.144263
./resources/edgenew512x384.pgm	7	0.146373
./resources/edgenew512x384.pgm	7	0.142109
./resources/edgenew512x384.pgm	7	0.144007
./resources/edgenew512x384.pgm	7	0.148289
./resources/edgenew512x384.pgm	7	0.137275
./resources/edgenew512x384.pgm	7	0.143583
./resources/edgenew512x384.pgm	7	0.145878
./resources/edgenew768x768.pgm	7	0.306459
./resources/edgenew768x768.pgm	7	0.301163
./resources/edgenew768x768.pgm	7	0.302454
./resources/edgenew768x768.pgm	7	0.302913
./resources/edgenew768x768.pgm	7	0.304751
./resources/edgenew768x768.pgm	7	0.303038
./resources/edgenew768x768.pgm	7	0.305270
./resources/edgenew768x768.pgm	7	0.302428
./resources/edgenew768x768.pgm	7	0.306801
./resources/edgenew768x768.pgm	7	0.305950
./resources/edgenew192x128.pgm	8	0.031156
./resources/edgenew192x128.pgm	8	0.033555
./resources/edgenew192x128.pgm	8	0.031614
./resources/edgenew192x128.pgm	8	0.031070
./resources/edgenew192x128.pgm	8	0.031656
./resources/edgenew192x128.pgm	8	0.032222
./resources/edgenew192x128.pgm	8	0.032962
./resources/edgenew192x128.pgm	8	0.032654
./resources/edgenew192x128.pgm	8	0.033199
./resources/edgenew192x128.pgm	8	0.031642
./resources/edgenew256x192.pgm	8	0.036272
./resources/edgenew256x192.pgm	8	0.037576
./resources/edgenew256x192.pgm	8	0.037730
./resources/edgenew256x192.pgm	8	0.035829
./resources/edgenew256x192.pgm	8	0.037223
./resources/edgenew256x192.pgm	8	0.036553
./resources/edgenew256x192.pgm	8	0.035921
./resources/edgenew256x192.pgm	8	0.035891
./resources/edgenew256x192.pgm	8	0.036081
./resources/edgenew256x192.pgm	8	0.037437
./resources/edgenew512x384.pgm	8	0.138314
./resources/edgenew512x384.pgm	8	0.136581
./resources/edgenew512x384.pgm	8	0.135803
./resources/edgenew512x384.pgm	8	0.136726
./resources/edgenew512x384.pgm	8	0.135959
./resources/edgenew512x384.pgm	8	0.135125
./resources/edgenew512x384.pgm	8	0.143144
./resources/edgenew512x384.pgm	8	0.139691
./resources/edgenew512x384.pgm	8	0.136094
./resources/edgenew512x384.pgm	8	0.136396
./resources/edgenew768x768.pgm	8	0.263975
./resources/edgenew768x768.pgm	8	0.264341
./resources/edgenew768x768.pgm	8	0.265484
./resources/edgenew768x768.pgm	8	0.258988
./resources/edgenew768x768.pgm	8	0.268202
./resources/edgenew768x768.pgm	8	0.261110
./resources/edgenew768x768.pgm	8	0.259529
./resources/edgenew768x768.pgm	8	0.264069
./resources/edgenew768x768.pgm	8	0.259948
./resources/edgenew768x768.pgm	8	0.263944
./resources/edgenew192x128.pgm	11	0.025570
./resources/edgenew192x128.pgm	11	0.026243
./resources/edgenew192x128.pgm	11	0.026384
./resources/edgenew192x128.pgm	11	0.026645
./resources/edgenew192x128.pgm	11	0.025799
./resources/edgenew192x128.pgm	11	0.026148
./resources/edgenew192x128.pgm	11	0.026325
./resources/edgenew192x128.pgm	11	0.025745
./resources/edgenew192x128.pgm	11	0.027326
./resources/edgenew192x128.pgm	11	0.026055
./resources/edgenew256x192.pgm	11	0.029142
./resources/edgenew256x192.pgm	11	0.028626
./resources/edgenew256x192.pgm	11	0.029813
./resources/edgenew256x192.pgm	11	0.029267
./resources/edgenew256x192.pgm	11	0.028414
./resources/edgenew256x192.pgm	11	0.028880
./resources/edgenew256x192.pgm	11	0.028999
./resources/edgenew256x192.pgm	11	0.029532
./resources/edgenew256x192.pgm	11	0.028930
./resources/edgenew256x192.pgm	11	0.029371
./resources/edgenew512x384.pgm	11	0.111212
./resources/edgenew512x384.pgm	11	0.116999
./resources/edgenew512x384.pgm	11	0.114722
./resources/edgenew512x384.pgm	11	0.112240
./resources/edgenew512x384.pgm	11	0.110465
./resources/edgenew512x384.pgm	11	0.109468
./resources/edgenew512x384.pgm	11	0.107401
./resources/edgenew512x384.pgm	11	0.107455
./resources/edgenew512x384.pgm	11	0.114860
./resources/edgenew512x384.pgm	11	0.114357
./resources/edgenew768x768.pgm	11	0.211336
./resources/edgenew768x768.pgm	11	0.223522
./resources/edgenew768x768.pgm	11	0.213476
./resources/edgenew768x768.pgm	11	0.213144
./resources/edgenew768x768.pgm	11	0.212518
./resources/edgenew768x768.pgm	11	0.217736
./resources/edgenew768x768.pgm	11	0.212016
./resources/edgenew768x768.pgm	11	0.215598
./resources/edgenew768x768.pgm	11	0.232205
./resources/edgenew768x768.pgm	11	0.218773
./resources/edgenew192x128.pgm	12	0.023834
./resources/edgenew192x128.pgm	12	0.023793
./resources/edgenew192x128.pgm	12	0.024585
./resources/edgenew192x128.pgm	12	0.024675
./resources/edgenew192x128.pgm	12	0.024098
./resources/edgenew192x128.pgm	12	0.023420
./resources/edgenew192x128.pgm	12	0.023919
./resources/edgenew192x128.pgm	12	0.023589
./resources/edgenew192x128.pgm	12	0.023261
./resources/edgenew192x128.pgm	12	0.023531
./resources/edgenew256x192.pgm	12	0.029759
./resources/edgenew256x192.pgm	12	0.030587
./resources/edgenew256x192.pgm	12	0.029838
./resources/edgenew256x192.pgm	12	0.030341
