Input File	Processes Number	Running Time (sec)
./resources/edgenew192x128.pgm	1	0.136255
./resources/edgenew256x192.pgm	1	0.218145
./resources/edgenew512x384.pgm	1	2.966556
./resources/edgenew768x768.pgm	1	6.886228
./resources/edgenew192x128.pgm	2	0.274422
./resources/edgenew256x192.pgm	2	0.412426
./resources/edgenew512x384.pgm	2	2.468615
./resources/edgenew768x768.pgm	2	6.456759
./resources/edgenew192x128.pgm	3	0.291797
./resources/edgenew256x192.pgm	3	0.278819
./resources/edgenew512x384.pgm	3	2.092602
./resources/edgenew768x768.pgm	3	5.653311
./resources/edgenew192x128.pgm	4	0.779521
./resources/edgenew256x192.pgm	4	0.459763
./resources/edgenew512x384.pgm	4	2.764021
./resources/edgenew768x768.pgm	4	6.097630
./resources/edgenew192x128.pgm	5	0.249605
./resources/edgenew256x192.pgm	5	0.439607
./resources/edgenew512x384.pgm	5	2.021369
./resources/edgenew768x768.pgm	5	5.926555
./resources/edgenew192x128.pgm	7	0.160949
./resources/edgenew256x192.pgm	7	0.395075
./resources/edgenew512x384.pgm	7	1.926315
./resources/edgenew768x768.pgm	7	6.985664
./resources/edgenew192x128.pgm	8	0.294099
./resources/edgenew256x192.pgm	8	0.206125
./resources/edgenew512x384.pgm	8	2.885930
./resources/edgenew768x768.pgm	8	6.170883
./resources/edgenew192x128.pgm	11	0.441560
./resources/edgenew256x192.pgm	11	0.390599
./resources/edgenew512x384.pgm	11	2.687080
./resources/edgenew768x768.pgm	11	7.142689
./resources/edgenew192x128.pgm	12	2.848213
./resources/edgenew256x192.pgm	12	0.393970
./resources/edgenew512x384.pgm	12	3.285069
./resources/edgenew768x768.pgm	12	6.073730
./resources/edgenew192x128.pgm	16	0.531185
./resources/edgenew256x192.pgm	16	0.273389
./resources/edgenew512x384.pgm	16	3.681705
./resources/edgenew768x768.pgm	16	7.472999
./resources/edgenew192x128.pgm	32	0.829896
./resources/edgenew256x192.pgm	32	1.163603
./resources/edgenew512x384.pgm	32	4.348331
./resources/edgenew768x768.pgm	32	6.766373
./resources/edgenew192x128.pgm	64	1.326051
./resources/edgenew256x192.pgm	64	1.313078
./resources/edgenew512x384.pgm	64	3.219332
./resources/edgenew768x768.pgm	64	5.390580
