Input File	Processes Number	Average Iteration Time (ms)
./resources/edgenew192x128.pgm	16	0.018783
./resources/edgenew192x128.pgm	4	0.041543
./resources/edgenew192x128.pgm	4	0.042828
./resources/edgenew192x128.pgm	16	0.031149
./resources/edgenew1600x1200.pgm	16	0.420933
./resources/edgenew192x128.pgm	16	0.016463
./resources/edgenew256x192.pgm	16	0.022120
./resources/edgenew512x384.pgm	16	0.056335
./resources/edgenew768x768.pgm	16	0.124944
./resources/edgenew1600x1200.pgm	16	0.421436
./resources/edgenew192x128.pgm	16	0.019661
./resources/edgenew256x192.pgm	16	0.023852
./resources/edgenew512x384.pgm	16	0.047736
./resources/edgenew768x768.pgm	16	0.126473
./resources/edgenew1600x1200.pgm	1	4.892582
./resources/edgenew192x128.pgm	1	0.078432
./resources/edgenew256x192.pgm	1	0.144430
./resources/edgenew512x384.pgm	1	0.507673
./resources/edgenew768x768.pgm	1	1.470421
./resources/edgenew1600x1200.pgm	2	2.469075
./resources/edgenew192x128.pgm	2	0.041378
./resources/edgenew256x192.pgm	2	0.076519
./resources/edgenew512x384.pgm	2	0.260292
./resources/edgenew768x768.pgm	2	0.724486
./resources/edgenew1600x1200.pgm	3	1.624095
./resources/edgenew192x128.pgm	3	0.030209
./resources/edgenew256x192.pgm	3	0.052565
./resources/edgenew512x384.pgm	3	0.177604
./resources/edgenew768x768.pgm	3	0.501623
./resources/edgenew1600x1200.pgm	4	1.279534
./resources/edgenew192x128.pgm	4	0.027238
./resources/edgenew256x192.pgm	4	0.043925
./resources/edgenew512x384.pgm	4	0.158197
./resources/edgenew768x768.pgm	4	0.387300
./resources/edgenew1600x1200.pgm	5	1.023225
./resources/edgenew192x128.pgm	5	0.021674
./resources/edgenew256x192.pgm	5	0.033647
./resources/edgenew512x384.pgm	5	0.109093
./resources/edgenew768x768.pgm	5	0.296380
./resources/edgenew1600x1200.pgm	7	0.762663
./resources/edgenew192x128.pgm	7	0.034107
./resources/edgenew256x192.pgm	7	0.027140
./resources/edgenew512x384.pgm	7	0.081791
./resources/edgenew768x768.pgm	7	0.219911
./resources/edgenew1600x1200.pgm	8	0.678095
./resources/edgenew192x128.pgm	8	0.018423
./resources/edgenew256x192.pgm	8	0.026265
./resources/edgenew512x384.pgm	8	0.088605
./resources/edgenew768x768.pgm	8	0.199409
./resources/edgenew1600x1200.pgm	11	0.565192
./resources/edgenew192x128.pgm	11	0.015639
./resources/edgenew256x192.pgm	11	0.027208
./resources/edgenew512x384.pgm	11	0.063778
./resources/edgenew768x768.pgm	11	0.176354
./resources/edgenew1600x1200.pgm	12	0.552178
./resources/edgenew192x128.pgm	12	0.017500
./resources/edgenew256x192.pgm	12	0.076446
./resources/edgenew512x384.pgm	12	0.066763
./resources/edgenew768x768.pgm	12	0.168923
./resources/edgenew1600x1200.pgm	16	0.453732
./resources/edgenew192x128.pgm	16	0.022264
./resources/edgenew256x192.pgm	16	0.028755
./resources/edgenew512x384.pgm	16	0.059753
./resources/edgenew768x768.pgm	16	0.135004
