Input File	Processes Number	Average Iteration Time (ms)
./resources/big/edgenew1600x1200.pgm	36	0.261767
./resources/big/edgenew768x768.pgm	36	0.085347
./resources/big/edgenew1600x1200.pgm	42	0.221046
./resources/big/edgenew768x768.pgm	42	0.092434
./resources/big/edgenew1600x1200.pgm	48	0.203831
./resources/big/edgenew768x768.pgm	48	0.073382
./resources/big/edgenew1600x1200.pgm	52	0.176955
./resources/big/edgenew768x768.pgm	52	0.061230
./resources/big/edgenew1600x1200.pgm	54	0.186468
./resources/big/edgenew768x768.pgm	54	0.068044
./resources/big/edgenew1600x1200.pgm	60	0.161393
./resources/big/edgenew768x768.pgm	60	0.073190
./resources/big/edgenew1600x1200.pgm	66	0.142481
./resources/big/edgenew768x768.pgm	66	0.068628
./resources/big/edgenew1600x1200.pgm	68	0.141247
./resources/big/edgenew768x768.pgm	68	0.048569
./resources/big/edgenew1600x1200.pgm	72	0.176617
./resources/big/edgenew768x768.pgm	72	0.051457
./resources/big/edgenew1600x1200.pgm	78	0.128064
./resources/big/edgenew768x768.pgm	78	0.045608
./resources/big/edgenew1600x1200.pgm	84	0.112196
./resources/big/edgenew768x768.pgm	84	0.064516
./resources/big/edgenew1600x1200.pgm	99	0.147600
./resources/big/edgenew768x768.pgm	99	0.253083
./resources/big/edgenew1600x1200.pgm	100	0.115363
./resources/big/edgenew768x768.pgm	100	0.211398
./resources/big/edgenew1600x1200.pgm	116	0.089882
./resources/ big/edgenew768x768.pgm	116	0.058273
./resources/big/edgenew1600x1200.pgm	132	0.127656
./resources/big/edgenew768x768.pgm	132	0.313812
./resources/big/edgenew1600x1200.pgm	150	0.078279
./resources/big/edgenew768x768.pgm	150	0.045669
./resources/big/edgenew1600x1200.pgm	180	0.072692
./resources/big/edgenew768x768.pgm	180	0.103459
