Input File	Processes Number	Average Iteration Time (ms)
./resources/edgenew1600x1200.pgm	1	13.708084
./resources/edgenew192x128.pgm	1	0.417472
./resources/edgenew256x192.pgm	1	0.528550
./resources/edgenew512x384.pgm	1	1.235476
./resources/edgenew768x768.pgm	1	3.091389
./resources/edgenew1600x1200.pgm	2	6.777102
./resources/edgenew192x128.pgm	2	0.352936
./resources/edgenew256x192.pgm	2	0.418821
./resources/edgenew512x384.pgm	2	0.770246
./resources/edgenew768x768.pgm	2	1.630558
./resources/edgenew1600x1200.pgm	3	4.131875
./resources/edgenew192x128.pgm	3	0.343653
./resources/edgenew256x192.pgm	3	0.367339
./resources/edgenew512x384.pgm	3	0.636970
./resources/edgenew768x768.pgm	3	1.226450
./resources/edgenew1600x1200.pgm	4	2.812571
./resources/edgenew192x128.pgm	4	0.311340
./resources/edgenew256x192.pgm	4	0.357466
./resources/edgenew512x384.pgm	4	0.557238
./resources/edgenew768x768.pgm	4	1.004016
./resources/edgenew1600x1200.pgm	5	2.254585
./resources/edgenew192x128.pgm	5	0.299826
./resources/edgenew256x192.pgm	5	0.336254
./resources/edgenew512x384.pgm	5	0.484741
./resources/edgenew768x768.pgm	5	0.829277
./resources/edgenew1600x1200.pgm	7	2.101617
./resources/edgenew192x128.pgm	7	0.298318
./resources/edgenew256x192.pgm	7	0.327709
./resources/edgenew512x384.pgm	7	0.452601
./resources/edgenew768x768.pgm	7	0.677657
./resources/edgenew1600x1200.pgm	8	1.693006
./resources/edgenew192x128.pgm	8	0.296158
./resources/edgenew256x192.pgm	8	0.319731
./resources/edgenew512x384.pgm	8	0.449089
./resources/edgenew768x768.pgm	8	0.659618
./resources/edgenew1600x1200.pgm	11	1.558426
./resources/edgenew192x128.pgm	11	0.303491
./resources/edgenew256x192.pgm	11	0.318925
./resources/edgenew512x384.pgm	11	0.380428
./resources/edgenew768x768.pgm	11	0.590907
./resources/edgenew1600x1200.pgm	12	1.810587
./resources/edgenew192x128.pgm	12	0.303409
./resources/edgenew256x192.pgm	12	0.337422
./resources/edgenew512x384.pgm	12	0.429775
./resources/edgenew768x768.pgm	12	0.660506
./resources/edgenew1600x1200.pgm	16	1.324597
./resources/edgenew192x128.pgm	16	0.298238
./resources/edgenew256x192.pgm	16	0.318989
./resources/edgenew512x384.pgm	16	0.402551
./resources/edgenew768x768.pgm	16	0.605374
./resources/edgenew1600x1200.pgm	20	1.030437
./resources/edgenew192x128.pgm	20	0.296719
./resources/edgenew256x192.pgm	20	0.293492
./resources/edgenew512x384.pgm	20	0.390072
./resources/edgenew768x768.pgm	20	0.540585
./resources/edgenew1600x1200.pgm	24	0.884563
./resources/edgenew192x128.pgm	24	0.348467
./resources/edgenew256x192.pgm	24	0.346751
./resources/edgenew512x384.pgm	24	0.412515
./resources/edgenew768x768.pgm	24	0.516829
./resources/edgenew1600x1200.pgm	26	0.818506
./resources/edgenew192x128.pgm	26	0.283519
./resources/edgenew256x192.pgm	26	0.304388
./resources/edgenew512x384.pgm	26	0.332235
./resources/edgenew768x768.pgm	26	0.438371
./resources/edgenew1600x1200.pgm	32	1.112047
./resources/edgenew192x128.pgm	32	0.298671
./resources/edgenew256x192.pgm	32	0.293780
./resources/edgenew512x384.pgm	32	0.352128
./resources/edgenew768x768.pgm	32	0.436649
